Dataset,PublishTime,StartTime,SettlementDate,SettlementPeriod,FuelType,Generation
FUELHH,2026-06-10T08:30:00Z,2026-06-10T08:00:00Z,2026-06-10,19,NUCLEAR,2980
FUELHH,2026-06-10T08:30:00Z,2026-06-10T08:00:00Z,2026-06-10,19,OCGT,2
FUELHH,2026-06-10T08:30:00Z,2026-06-10T08:00:00Z,2026-06-10,19,OIL,0
FUELHH,2026-06-10T08:30:00Z,2026-06-10T08:00:00Z,2026-06-10,19,OTHER,849
FUELHH,2026-06-10T08:30:00Z,2026-06-10T08:00:00Z,2026-06-10,19,PS,-16
FUELHH,2026-06-10T08:30:00Z,2026-06-10T08:00:00Z,2026-06-10,19,WIND,3825
FUELHH,2026-06-10T08:00:00Z,2026-06-10T07:30:00Z,2026-06-10,18,BIOMASS,2393
FUELHH,2026-06-10T08:00:00Z,2026-06-10T07:30:00Z,2026-06-10,18,CCGT,8185
FUELHH,2026-06-10T08:00:00Z,2026-06-10T07:30:00Z,2026-06-10,18,COAL,0
FUELHH,2026-06-10T08:00:00Z,2026-06-10T07:30:00Z,2026-06-10,18,INTELEC,998
FUELHH,2026-06-10T08:00:00Z,2026-06-10T07:30:00Z,2026-06-10,18,INTEW,-532
FUELHH,2026-06-10T08:00:00Z,2026-06-10T07:30:00Z,2026-06-10,18,INTFR,1504
FUELHH,2026-06-10T08:00:00Z,2026-06-10T07:30:00Z,2026-06-10,18,INTGRNL,-514
FUELHH,2026-06-10T08:00:00Z,2026-06-10T07:30:00Z,2026-06-10,18,INTIFA2,-2
FUELHH,2026-06-10T08:00:00Z,2026-06-10T07:30:00Z,2026-06-10,18,INTIRL,-452
FUELHH,2026-06-10T08:00:00Z,2026-06-10T07:30:00Z,2026-06-10,18,INTNED,1050
FUELHH,2026-06-10T08:00:00Z,2026-06-10T07:30:00Z,2026-06-10,18,INTNEM,942
FUELHH,2026-06-10T08:00:00Z,2026-06-10T07:30:00Z,2026-06-10,18,INTNSL,1398
FUELHH,2026-06-10T08:00:00Z,2026-06-10T07:30:00Z,2026-06-10,18,INTVKL,1426
FUELHH,2026-06-10T08:00:00Z,2026-06-10T07:30:00Z,2026-06-10,18,NPSHYD,618
FUELHH,2026-06-10T08:00:00Z,2026-06-10T07:30:00Z,2026-06-10,18,NUCLEAR,2977
FUELHH,2026-06-10T08:00:00Z,2026-06-10T07:30:00Z,2026-06-10,18,OCGT,2
FUELHH,2026-06-10T08:00:00Z,2026-06-10T07:30:00Z,2026-06-10,18,OIL,0
FUELHH,2026-06-10T08:00:00Z,2026-06-10T07:30:00Z,2026-06-10,18,OTHER,1318
FUELHH,2026-06-10T08:00:00Z,2026-06-10T07:30:00Z,2026-06-10,18,PS,-16
FUELHH,2026-06-10T08:00:00Z,2026-06-10T07:30:00Z,2026-06-10,18,WIND,3758
FUELHH,2026-06-10T07:30:00Z,2026-06-10T07:00:00Z,2026-06-10,17,BIOMASS,2392
FUELHH,2026-06-10T07:30:00Z,2026-06-10T07:00:00Z,2026-06-10,17,CCGT,8062
FUELHH,2026-06-10T07:30:00Z,2026-06-10T07:00:00Z,2026-06-10,17,COAL,0
FUELHH,2026-06-10T07:30:00Z,2026-06-10T07:00:00Z,2026-06-10,17,INTELEC,998
FUELHH,2026-06-10T07:30:00Z,2026-06-10T07:00:00Z,2026-06-10,17,INTEW,-532
FUELHH,2026-06-10T07:30:00Z,2026-06-10T07:00:00Z,2026-06-10,17,INTFR,1502
FUELHH,2026-06-10T07:30:00Z,2026-06-10T07:00:00Z,2026-06-10,17,INTGRNL,-514
